model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,ENSG00000004660,Treatment,seeContrasts,seeContrasts,0.021302989990425004,0.04233961206384361,CAMKK1
lme,ENSG00000004660,median_cv_coverage,seeContrasts,seeContrasts,0.8052619787265717,0.8750121111827021,CAMKK1
lme,ENSG00000004700,Treatment,seeContrasts,seeContrasts,2.5919618690810786e-4,8.048084608915228e-4,RECQL
lme,ENSG00000004700,median_cv_coverage,seeContrasts,seeContrasts,1.8210791184788387e-11,3.039654306153503e-10,RECQL
lme,ENSG00000004766,Treatment,seeContrasts,seeContrasts,0.9972656772124819,0.9979557830535323,VPS50
lme,ENSG00000004766,median_cv_coverage,seeContrasts,seeContrasts,6.221447943100706e-13,1.3575387164732912e-11,VPS50
lme,ENSG00000004777,Treatment,seeContrasts,seeContrasts,0.8199443418741332,0.8609836080654995,ARHGAP33
lme,ENSG00000004777,median_cv_coverage,seeContrasts,seeContrasts,0.2632198567642555,0.3989175172969715,ARHGAP33
lme,ENSG00000004779,Treatment,seeContrasts,seeContrasts,6.19251562912187e-6,2.5625480258179392e-5,NDUFAB1
lme,ENSG00000004779,median_cv_coverage,seeContrasts,seeContrasts,7.842032546248594e-5,3.5278057611192414e-4,NDUFAB1
lme,ENSG00000004799,Treatment,seeContrasts,seeContrasts,5.868424008698399e-11,4.816770934280983e-10,PDK4
lme,ENSG00000004799,median_cv_coverage,seeContrasts,seeContrasts,6.562102681825421e-4,0.0023616146461492528,PDK4
lme,ENSG00000004809,Treatment,seeContrasts,seeContrasts,0.44772353009171817,0.5390507260951378,SLC22A16
lme,ENSG00000004809,median_cv_coverage,seeContrasts,seeContrasts,0.15010513494295086,0.25768642149120646,SLC22A16
lme,ENSG00000004838,Treatment,seeContrasts,seeContrasts,4.630630367118243e-7,2.2657470701245736e-6,ZMYND10
lme,ENSG00000004838,median_cv_coverage,seeContrasts,seeContrasts,1.2373336411685084e-15,4.169971658912598e-14,ZMYND10
lme,ENSG00000004846,Treatment,seeContrasts,seeContrasts,0.9937773648335787,0.9955924261498764,ABCB5
lme,ENSG00000004846,median_cv_coverage,seeContrasts,seeContrasts,0.846882767170525,0.9049687073345117,ABCB5
lme,ENSG00000004848,Treatment,seeContrasts,seeContrasts,0.001539316194575887,0.004082344566041787,ARX
lme,ENSG00000004848,median_cv_coverage,seeContrasts,seeContrasts,0.005511650910807872,0.015670032357144023,ARX
lme,ENSG00000004864,Treatment,seeContrasts,seeContrasts,0.05239441414272558,0.09189474114105083,SLC25A13
lme,ENSG00000004864,median_cv_coverage,seeContrasts,seeContrasts,0.09191232845497943,0.17413642314594543,SLC25A13
lme,ENSG00000004866,Treatment,seeContrasts,seeContrasts,2.973138588810972e-5,1.0983213082261061e-4,ST7
lme,ENSG00000004866,median_cv_coverage,seeContrasts,seeContrasts,0.29773803370894214,0.43808333199594324,ST7
lme,ENSG00000004897,Treatment,seeContrasts,seeContrasts,3.8099759139912386e-7,1.8862523144680557e-6,CDC27
lme,ENSG00000004897,median_cv_coverage,seeContrasts,seeContrasts,2.474427522141421e-27,3.7486398661622465e-25,CDC27
lme,ENSG00000004948,Treatment,seeContrasts,seeContrasts,0.7420229216157984,0.7980634627547333,CALCR
lme,ENSG00000004948,median_cv_coverage,seeContrasts,seeContrasts,0.2915621941284851,0.4311482387304118,CALCR
lme,ENSG00000004961,Treatment,seeContrasts,seeContrasts,3.73055307912986e-8,2.1353691194573114e-7,HCCS
lme,ENSG00000004961,median_cv_coverage,seeContrasts,seeContrasts,0.3233452255262405,0.46606129960546466,HCCS
lme,ENSG00000004975,Treatment,seeContrasts,seeContrasts,0.05029092323214387,0.08867949405317731,DVL2
