model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,module_24,median_cv_coverage,19.06192112249479,1.843249002680507,1.265447917633238e-5,2.5911552599156775e-5,NA
lme,module_25,log10viral_load,7.742247094398283,-0.01025549532456269,0.005394363238588002,0.0070290187654328505,NA
lme,module_25,median_cv_coverage,318.77546829042825,-4.122738436071899,2.6769011364274073e-71,2.877668721659463e-70,NA
lme,module_26,log10viral_load,81.56614920038035,-0.04378362895541404,1.6949250012520424e-19,6.625615913985257e-19,NA
lme,module_26,median_cv_coverage,122.58214574045124,4.082974565506704,1.7213862694856892e-28,1.0574229941126377e-27,NA
lme,module_27,log10viral_load,43.50073425449721,0.06598137132174564,4.23800346388162e-11,8.677816616519507e-11,NA
lme,module_27,median_cv_coverage,20.891208817561072,2.6869709192587896,4.861205046932507e-6,1.045159085090489e-5,NA
lme,module_28,log10viral_load,18.695798911326612,-0.02998790011825579,1.5331991303839646e-5,2.3545558073753743e-5,NA
lme,module_28,median_cv_coverage,59.913230351363865,-3.907558984367341,9.913281765242488e-15,2.6641944744089187e-14,NA
lme,module_29,log10viral_load,28.937455752411537,-0.052127999504269634,7.475334663010771e-8,1.3975625674324486e-7,NA
lme,module_29,median_cv_coverage,17.072949612301823,-2.701115177443918,3.5971026534153765e-5,6.725018004211356e-5,NA
lme,module_30,log10viral_load,182.1298297976696,0.13090451629244979,1.6611422733183227e-41,2.3809705917562628e-40,NA
lme,module_30,median_cv_coverage,63.12428147039203,4.185616862615674,1.9406695163874617e-15,5.563252613644057e-15,NA
lme,module_31,log10viral_load,72.72265022348779,-0.06576322059958992,1.4921174983868903e-17,4.935465571587406e-17,NA
lme,module_31,median_cv_coverage,89.20477744155323,-4.557365831839885,3.559882286962893e-21,1.39159034854004e-20,NA
lme,module_32,log10viral_load,49.81253704221597,0.06582215737677219,1.6915961181388155e-12,3.636931653998453e-12,NA
lme,module_32,median_cv_coverage,0.38619796587584315,-0.4528839521048845,0.5343047135255198,0.5470262543237464,NA
lme,module_33,log10viral_load,54.80362926689793,0.09718235989474922,1.3319458305543223e-13,3.3690394537550503e-13,NA
lme,module_33,median_cv_coverage,0.5349183322482925,-0.8540366601950107,0.4645463984067288,0.49938737828723345,NA
lme,module_34,log10viral_load,61.72038211883473,-0.120070143110233,3.958613716773974e-15,1.1348025988085391e-14,NA
lme,module_34,median_cv_coverage,0.0316140902357941,-0.22203373065569615,0.8588772861278668,0.8588772861278668,NA
lme,module_35,log10viral_load,10.440328634471308,0.023798472983391095,0.0012329333118739818,0.001656754137830663,NA
lme,module_35,median_cv_coverage,64.63448704302837,-3.9308725164106226,9.016336737888052e-16,2.7693034266370446e-15,NA
lme,module_36,log10viral_load,98.13287542190382,-0.11932191130155487,3.91229445223116e-23,2.803811024098998e-22,NA
lme,module_36,median_cv_coverage,13.416658123680318,-2.9543300882848995,2.4939961271925655e-4,4.46840972788668e-4,NA
lme,module_37,log10viral_load,4.299710677041959,-0.016053609765115634,0.03811885736339886,0.04553085740628197,NA
lme,module_37,median_cv_coverage,67.85067889753596,-4.960914227268775,1.7635784867142915e-16,5.833374994516502e-16,NA
lme,module_38,log10viral_load,53.65067370125856,-0.07854885443070161,2.3950154911138464e-13,5.721425895438633e-13,NA
lme,module_38,median_cv_coverage,0.47750553685638975,-0.644129356855356,0.4895543837497436,0.5134350853960725,NA
lme,module_39,log10viral_load,111.64767277983778,-0.13717156602977504,4.268003196112755e-26,4.588103435821211e-25,NA
lme,module_39,median_cv_coverage,9.04061368437949,-2.6219236298259165,0.0026404698746617743,0.0045416081844182514,NA
lme,module_40,log10viral_load,2.1405237029892343,-0.009566889696214723,0.14345291241186794,0.158166031633598,NA
lme,module_40,median_cv_coverage,39.483443228099794,-3.169210680107467,3.308527080960984e-10,7.903703582295685e-10,NA
lme,module_41,log10viral_load,57.67950294217734,-0.0737238756677708,3.085008558241634e-14,8.290960500274391e-14,NA
lme,module_41,median_cv_coverage,3.9255248192208967,-1.563043551954959,0.047558343839242366,0.0584288224310692,NA
lme,module_42,log10viral_load,27.971339815243464,-0.05549882728856593,1.231255992627271e-7,2.2060003201238607e-7,NA
lme,module_42,median_cv_coverage,0.831581854084192,-0.9022994300568706,0.36181551790963196,0.3989248017977994,NA
