model,gene,variable,df,statistic,contrast_ref,contrast_lvl,estimate,pval,FDR,std.error,hgnc_symbol
lme.contrast,module_15,Treatment,34.01296027305786,-7.97450388573004,(None + None),(None + RV16),0.43358758525859,2.7141476536931727e-9,1.3986460128647205e-8,0.05437173164270107,NA
lme.contrast,module_15,Treatment,33.243795136446,-7.79036129514926,(None + None),(CXCL10 + RV16),0.418895099538581,5.343768476647786e-9,2.5531338277317198e-8,0.05377094638722466,NA
lme.contrast,module_15,Treatment,32.486950407202585,-4.48954568035788,(None + None),(IFNb + RV16),0.238838496884171,8.465068769724747e-5,2.4161313697646395e-4,0.0531988120600062,NA
lme.contrast,module_15,Treatment,32.49659408518726,0.276143418371528,(None + RV16),(CXCL10 + RV16),-0.0146924857200096,0.7841865520730527,0.9343293502360811,0.05320599638642141,NA
lme.contrast,module_15,Treatment,33.268504370299596,3.62054950361747,(None + RV16),(IFNb + RV16),-0.194749088374419,9.662091496633506e-4,0.00461633260394712,0.053789925584454897,NA
lme.contrast,module_15,Treatment,32.718198153574704,3.37362747984433,(CXCL10 + RV16),(IFNb + RV16),-0.180056602654409,0.0019219865112842655,0.010330677498152927,0.05337180934473471,NA
lme.contrast,module_16,Treatment,33.30318311665127,-0.252398999628375,(None + None),(None + RV16),0.0209490734963186,0.8022839860370792,0.8022839860370792,0.08299982776145483,NA
lme.contrast,module_16,Treatment,32.7337191416793,-1.17265109941148,(None + None),(CXCL10 + RV16),0.0953986158800276,0.24939919376024164,0.2749785982484716,0.08135294115010434,NA
lme.contrast,module_16,Treatment,32.15588146985015,-4.03927306875808,(None + None),(IFNb + RV16),0.322214875994713,3.115492241025241e-4,6.865798514249424e-4,0.07977051080970429,NA
lme.contrast,module_16,Treatment,32.16336098552797,-0.933063087566305,(None + RV16),(CXCL10 + RV16),0.074449542383709,0.3577394960878254,0.9343293502360811,0.07979047009339386,NA
lme.contrast,module_16,Treatment,32.75228164093953,-3.70081792084393,(None + RV16),(IFNb + RV16),0.301265802498395,7.858564564406597e-4,0.004223978453368546,0.08140519445757934,NA
lme.contrast,module_16,Treatment,32.33438558368853,-2.82635351784569,(CXCL10 + RV16),(IFNb + RV16),0.226816260114686,0.008009425327005435,0.03130957173283943,0.08025049190858839,NA
