variable,estimate,Std. Error,df,t value,pval,gene,FDR
TreatmentIFNb + RV16:log10viral_load,-0.18901587055088973,0.09563664899126861,23.57753253494569,-1.9763957912007812,0.05992194059671939,module_13,0.15156726150934904
TreatmentIFNb + RV16:log10viral_load,0.18799571276152932,0.0994072589519276,19.39901549466526,1.8911668498217242,0.07363108259405632,module_20,0.16450790324164263
TreatmentIFNb + RV16:log10viral_load,-0.27813197449971444,0.14881126294840277,19.760267268581927,-1.8690250253178144,0.07651530383332215,module_35,0.16450790324164263
TreatmentIFNb + RV16:log10viral_load,0.3922194901975965,0.20919784348301876,19.730821206934447,1.8748734865875143,0.07569128202714853,module_36,0.16450790324164263
log10viral_load,0.15059807277716122,0.09593467348344198,26.695933127661863,1.5697981481445702,0.1282404272502851,module_35,0.1671011627806745
median_cv_coverage,0.9307368562550268,0.619452761552274,24.91157274217665,1.502514661364512,0.1455357807653436,module_06,0.1691361776462101
log10viral_load,-0.111535880316828,0.0746437869890569,24.0302041291601,-1.4942419833706944,0.14812877432406815,module_10,0.1873393322333803
log10viral_load,0.22459936429154292,0.1558282054504821,27.411348745520012,1.4413267716345126,0.16081972458169208,module_18,0.19757851877179314
TreatmentIFNb + RV16:log10viral_load,-0.22732417067479954,0.13128180437860176,19.399630127652763,-1.7315740879004262,0.099222202098207965,module_14,0.20316927096299725
log10viral_load,0.07284260560027832,0.05349473585478802,28.98958740133669,1.3616780125433328,0.18378889340297358,module_13,0.219525622675774
median_cv_coverage,-1.5184117487366473,1.173173649152271,21.065659821805294,-1.2942770661733183,0.2095791481171573,module_42,0.23715535181678327
TreatmentIFNb + RV16,-1.8211573318084262,1.1072491628047791,19.205627788429165,-1.6447583732601272,0.1162885203790768,module_34,0.23811458934763344
TreatmentIFNb + RV16:log10viral_load,0.4775193357087269,0.3007832674894358,19.272215334078314,1.587586103756581,0.12865139660222605,module_34,0.25145500244980545
log10viral_load,-0.18686146660125014,0.14748885313594431,22.432624298436124,-1.2669531468185942,0.2181683809024454,module_41,0.2535470372650041
TreatmentIFNb + RV16,0.7329142128400954,0.4832274349498605,19.338233212733048,1.5167065440234004,0.14551817172690273,module_14,0.2648372059856383
TreatmentIFNb + RV16,-1.229658221546406,0.8250008082186563,17.42417421740702,-1.490493353820449,0.15397511975909203,module_38,0.2648372059856383
TreatmentIFNb + RV16,-1.1994682452006291,0.7981031736281811,17.09340772378948,-1.5028987289297955,0.15111496826561394,module_41,0.2648372059856383
TreatmentIFNb + RV16,-1.2946756196116063,0.8492530123475394,17.81846518659935,-1.5244875211367361,0.14493937447897842,module_42,0.2648372059856383
median_cv_coverage,-0.5506206149448116,0.49400630769492715,25.476754698771966,-1.1146023975160386,0.27542547781520266,module_11,0.30367424477060806
TreatmentIFNb + RV16,-0.27934093629926554,0.2038885405839973,20.38468136593225,-1.370066878202915,0.18556828387033295,module_25,0.3069013925547814
median_cv_coverage,-1.4756123044379466,1.3587288874818624,27.854773697326046,-1.0860240906283407,0.286777892593343,module_16,0.3082862345378437
TreatmentIFNb + RV16:log10viral_load,0.0783040587883636,0.0553789783150404,20.452597173408627,1.413967197858126,0.17241350308357076,module_25,0.3089075263580643
TreatmentIFNb + RV16:log10viral_load,0.3142730371846532,0.21689280441456693,17.14515575350983,1.4489786234860729,0.16538724959157744,module_41,0.3089075263580643
log10viral_load,-0.18718311324056028,0.1666432760866148,18.81194710702417,-1.1232563211447526,0.275459667571368,module_42,0.31170436067286383
TreatmentIFNb + RV16:log10viral_load,0.3042938332298978,0.22426726526588153,17.460585815631504,1.3568357061345544,0.19211717469100548,module_38,0.33042881449918743
TreatmentIFNb + RV16:log10viral_load,0.3075151016313316,0.23095212392441475,17.83092894037577,1.3315101693196558,0.19979416690648544,module_42,0.33042881449918743
TreatmentIFNb + RV16:log10viral_load,0.14697484724550736,0.11454248913072942,19.46530204070136,1.283146964597236,0.2145082059360803,module_21,0.3416241798241279
TreatmentIFNb + RV16,-0.5523750431720084,0.4504842025199182,20.26765556348306,-1.2261807186181741,0.23418696913991713,module_05,0.3729644323339421
TreatmentIFNb + RV16,0.5992100873855764,0.5187742453105466,28.999999999501473,1.155049798254498,0.25749894455240546,module_03,0.39544480770547985
TreatmentIFNb + RV16:log10viral_load,-0.15755667588275274,0.14055878485606876,28.99999999913237,-1.1209308336301407,0.27151420895844397,module_03,0.4025900339728652
TreatmentIFNb + RV16:log10viral_load,0.14037638242648368,0.12232424164591711,20.349486075347997,1.1475761512000275,0.2644567203536501,module_05,0.4025900339728652
log10viral_load,0.22004381345692728,0.25116800301243036,28.26620718998079,0.8760821872921339,0.3883699914739185,module_04,0.42820281111226915
